ANA,Anaheim,Amigos,ABA
AND,Anderson,Duffey Packers,NBA
ATL,Atlanta,Hawks,NBA
BA1,Baltimore,Bullets,NBA
BAL,Baltimore,Bullets,NBA
BOS,Boston,Celtics,NBA
BUF,Buffalo,Braves,NBA
CAP,Capital,Bullets,NBA
CAR,Carolina,Cougars,ABA
CH1,Chicago,Stags,NBA
CH2,Chicago,Zephyrs,NBA
CHA,Charlotte,Hornets,NBA
CHI,Chicago,Bulls,NBA
CHR,Charlotte,Bobcats,NBA
CIN,Cincinnati,Royals,NBA
CL1,Cleveland,Rebels,NBA
CLE,Cleveland,Cavaliers,NBA
DAL,Dallas,Mavericks,NBA
DE1,Detroit,Falcons,NBA
DEN,Denver,Rockets,ABA
DEN,Denver,Nuggets,NBA
DET,Detroit,Pistons,NBA
DLC,Dallas,Chaparrals,ABA
DN1,Denver,Nuggets,NBA
FLA,Floridians,Muskies,ABA
FTW,Fort Wayne,Zollner Pistons,NBA
GSW,Golden State,Warriors,NBA
HMV,Houston,Mavericks,ABA
HOU,Houston,Rockets,NBA
IND,Indiana,Pacers,ABA
IND,Indiana,Pacers,NBA
INI,Indianapolis,Olympians,NBA
INJ,Indianapolis,Jets,NBA
KCK,Kansas City,Kings,NBA
KEN,Kentucky,Colonels,ABA
LAC,Los Angeles,Clippers,NBA
LAL,Los Angeles,Lakers,NBA
LAS,Los Angeles,Stars,ABA
MEM,Memphis,Grizzlies,NBA
MFL,Miami,Floridians,ABA
MI1,Milwaukee,Hawks,NBA
MIA,Miami,Heat,NBA
MIE,Minneapolis,Lakers,NBA
MIL,Milwaukee,Bucks,NBA
MIN,Minnesota,Timberwolves,NBA
MMP,Memphis,Pros,ABA
MMS,Memphis,Sounds,ABA
MMT,Memphis,Tams,ABA
MNM,Minnesota,Muskies,ABA
MNP,Minnesota,Pipers,ABA
NJA,New Jersey,Americans,ABA
NJN,New Jersey,Nets,NBA
NOB,New Orleans,Buccaneers,ABA
NOH,New Orleans,Hornets,NBA
NOJ,New Orleans,Jazz,NBA
NYK,New York,Knicks,NBA
NYN,New York,Nets,ABA
NYN,New York,Nets,NBA
OAK,Oakland,Oaks,ABA
ORL,Orlando,Magic,NBA
PH1,Philadelphia,Warriors,NBA
PHI,Philadelphia,76ers,NBA
PHO,Phoenix,Suns,NBA
PIT,Pittsburgh,Ironmen,NBA
POR,Portland,Trailblazers,NBA
PRO,Providence,Steamrollers,NBA
PTC,Pittsburgh,Pipers,ABA
PTP,Pittsburgh,Pipers,ABA
ROC,Rochester,Royals,NBA
SAC,Sacramento,Kings,NBA
SAS,San Antonio,Spurs,ABA
SAS,San Antonio,Spurs,NBA
SDC,San Diego,Clippers,NBA
SDQ,San Diego,Conquistadors,ABA
SDR,San Diego,Rockets,NBA
SDS,San Diego,Sails,ABA
SEA,Seattle,Supersonics,NBA
SFW,San Francisco,Warriors,NBA
SHE,Sheboygan,Redskins,NBA
ST1,St. Louis,Bombers,NBA
STL,St. Louis,Spirits,ABA
STL,St. Louis,Hawks,NBA
SYR,Syracuse,Nationals,NBA
TEX,Texas,Chaparrals,ABA
TO1,Toronto,Huskies,NBA
TOR,Toronto,Raptors,NBA
TRI,Tri-Cities,Blackhawks,NBA
UTA,Utah,Jazz,NBA
UTS,Utah,Stars,ABA
VAN,Vancouver,Grizzlies,NBA
VIR,Virginia,Squires,ABA
WA1,Washington,Bullets,NBA
WAC,Washington,Caps,ABA
WAS,Washington,Wizards,NBA
WAT,Waterloo,Hawks,NBA
WSC,Washington,Capitols,NBA
